"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.114","224.0.0.251","MDNS","289","Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.0.114 AAAA, cache flush fe80::f660:e2ff:fe9a:17b8 NSEC, cache flush 114.0.168.192.in-addr.arpa NSEC, cache flush 8.B.7.1.A.9.E.F.F.F.2.E.0.6.6.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"2","3.559564","192.168.0.78","91.189.91.157","NTP","90","NTP Version 4, client"
"3","3.988485","91.189.91.157","192.168.0.78","NTP","90","NTP Version 4, server"
"4","8.639047","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","Who has 192.168.0.1? Tell 192.168.0.78"
"5","8.696372","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","192.168.0.1 is at 02:10:18:93:cd:5c"
"6","8.755318","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","Who has 192.168.0.78? Tell 192.168.0.1"
"7","8.755389","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","192.168.0.78 is at 28:c2:dd:5b:51:4b"
"8","11.658946","192.168.0.148","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"9","15.960552","192.168.0.1","224.0.0.22","IGMPv3","70","Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.22 for any sources / Join group 224.0.0.2 for any sources"
"10","20.772953","192.168.0.221","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"11","55.274305","192.168.0.78","200.42.4.207","DNS","108","Standard query 0xdb79 A asimov.vortex.data.trafficmanager.net OPT"
"12","55.274830","192.168.0.78","200.42.4.207","DNS","108","Standard query 0x7e0d AAAA asimov.vortex.data.trafficmanager.net OPT"
"13","55.382843","200.42.4.207","192.168.0.78","DNS","124","Standard query response 0xdb79 A asimov.vortex.data.trafficmanager.net A 64.4.54.254 OPT"
"14","55.388168","200.42.4.207","192.168.0.78","DNS","169","Standard query response 0x7e0d AAAA asimov.vortex.data.trafficmanager.net SOA tm1.dns-tm.com OPT"
"15","55.389648","192.168.0.78","64.4.54.254","TCP","74","43452  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=849234598 TSecr=0 WS=128"
"16","55.687040","64.4.54.254","192.168.0.78","TCP","66","443  >  43452 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1420 WS=256 SACK_PERM=1"
"17","55.687184","192.168.0.78","64.4.54.254","TCP","54","43452  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"18","55.688115","192.168.0.78","64.4.54.254","TLSv1.2","571","Client Hello"
"19","55.935345","64.4.54.254","192.168.0.78","TCP","1514","443  >  43452 [ACK] Seq=1 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"20","55.935473","192.168.0.78","64.4.54.254","TCP","54","43452  >  443 [ACK] Seq=518 Ack=1461 Win=64128 Len=0"
"21","55.961228","64.4.54.254","192.168.0.78","TCP","1514","443  >  43452 [ACK] Seq=1461 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"22","55.961314","192.168.0.78","64.4.54.254","TCP","54","43452  >  443 [ACK] Seq=518 Ack=2921 Win=64128 Len=0"
"23","55.981242","64.4.54.254","192.168.0.78","TLSv1.2","1026","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"24","55.981329","192.168.0.78","64.4.54.254","TCP","54","43452  >  443 [ACK] Seq=518 Ack=3893 Win=64128 Len=0"
"25","55.984102","192.168.0.78","64.4.54.254","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"26","56.218946","64.4.54.254","192.168.0.78","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"27","56.219066","192.168.0.78","64.4.54.254","TCP","54","43452  >  443 [ACK] Seq=611 Ack=3944 Win=64128 Len=0"
"28","56.221764","192.168.0.78","64.4.54.254","TCP","1474","43452  >  443 [ACK] Seq=611 Ack=3944 Win=64128 Len=1420 [TCP segment of a reassembled PDU]"
"29","56.221803","192.168.0.78","64.4.54.254","TLSv1.2","564","Application Data"
"30","56.508412","64.4.54.254","192.168.0.78","TCP","60","443  >  43452 [ACK] Seq=3944 Ack=2031 Win=525568 Len=0"
"31","56.569922","64.4.54.254","192.168.0.78","TCP","60","443  >  43452 [ACK] Seq=3944 Ack=2541 Win=525056 Len=0"
"32","56.597478","64.4.54.254","192.168.0.78","TLSv1.2","368","Application Data"
"33","56.600336","192.168.0.78","64.4.54.254","TLSv1.2","85","Encrypted Alert"
"34","56.600924","192.168.0.78","64.4.54.254","TCP","54","43452  >  443 [FIN, ACK] Seq=2572 Ack=4259 Win=64128 Len=0"
"35","56.822993","64.4.54.254","192.168.0.78","TCP","60","443  >  43452 [ACK] Seq=4259 Ack=2573 Win=525056 Len=0"
"36","60.502059","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","Who has 192.168.0.78? Tell 192.168.0.1"
"37","60.502132","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","192.168.0.78 is at 28:c2:dd:5b:51:4b"
"38","75.332872","192.168.0.78","200.42.4.207","DNS","100","Standard query 0x02e7 AAAA connectivity-check.ubuntu.com OPT"
"39","75.451544","200.42.4.207","192.168.0.78","DNS","161","Standard query response 0x02e7 AAAA connectivity-check.ubuntu.com SOA ns1.canonical.com OPT"
"40","75.454932","192.168.0.78","200.42.4.207","DNS","100","Standard query 0x90be AAAA connectivity-check.ubuntu.com OPT"
"41","75.554192","200.42.4.207","192.168.0.78","DNS","161","Standard query response 0x90be AAAA connectivity-check.ubuntu.com SOA ns1.canonical.com OPT"
"42","111.488450","192.168.0.114","224.0.0.251","MDNS","289","Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.0.114 AAAA, cache flush fe80::f660:e2ff:fe9a:17b8 NSEC, cache flush 114.0.168.192.in-addr.arpa NSEC, cache flush 8.B.7.1.A.9.E.F.F.F.2.E.0.6.6.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"43","111.491392","fe80::f660:e2ff:fe9a:17b8","ff02::fb","MDNS","309","Standard query response 0x0000 PTR, cache flush Android.local PTR, cache flush Android.local A, cache flush 192.168.0.114 AAAA, cache flush fe80::f660:e2ff:fe9a:17b8 NSEC, cache flush 114.0.168.192.in-addr.arpa NSEC, cache flush 8.B.7.1.A.9.E.F.F.F.2.E.0.6.6.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android.local"
"44","113.633969","192.168.0.114","224.0.0.251","MDNS","136","Standard query 0x0003 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"45","128.583074","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0001 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"46","136.773989","192.168.0.125","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"47","186.433210","192.168.0.78","200.42.4.207","DNS","100","Standard query 0x5566 A connectivity-check.ubuntu.com OPT"
"48","188.590185","200.42.4.207","192.168.0.78","DNS","148","Standard query response 0x5566 A connectivity-check.ubuntu.com A 35.232.111.17 A 35.224.170.84 A 34.122.121.32 OPT"
"49","188.593071","192.168.0.78","34.122.121.32","TCP","74","38380  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3647747243 TSecr=0 WS=128"
"50","188.802469","34.122.121.32","192.168.0.78","TCP","74","80  >  38380 [SYN, ACK] Seq=0 Ack=1 Win=64768 Len=0 MSS=1420 SACK_PERM=1 TSval=1947986504 TSecr=3647747243 WS=128"
"51","188.802632","192.168.0.78","34.122.121.32","TCP","66","38380  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3647747452 TSecr=1947986504"
"52","188.803001","192.168.0.78","34.122.121.32","HTTP","153","GET / HTTP/1.1 "
"53","189.439023","192.168.0.78","34.122.121.32","TCP","153","[TCP Retransmission] 38380  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=87 TSval=3647748089 TSecr=1947986504"
"54","190.079053","192.168.0.78","34.122.121.32","TCP","153","[TCP Retransmission] 38380  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=87 TSval=3647748729 TSecr=1947986504"
"55","190.260499","34.122.121.32","192.168.0.78","TCP","78","[TCP Previous segment not captured] 80  >  38380 [ACK] Seq=150 Ack=88 Win=64256 Len=0 TSval=1947987987 TSecr=3647748729 SLE=1 SRE=88"
"56","191.490895","34.122.121.32","192.168.0.78","TCP","214","[TCP Retransmission] 80  >  38380 [FIN, PSH, ACK] Seq=1 Ack=88 Win=64256 Len=148 TSval=1947989218 TSecr=3647748729"
"57","191.491228","192.168.0.78","34.122.121.32","TCP","66","38380  >  80 [FIN, ACK] Seq=88 Ack=150 Win=64128 Len=0 TSval=3647750141 TSecr=1947989218"
"58","191.505055","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","Who has 192.168.0.78? Tell 192.168.0.1"
"59","191.505133","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","192.168.0.78 is at 28:c2:dd:5b:51:4b"
"60","191.664921","34.122.121.32","192.168.0.78","TCP","66","80  >  38380 [ACK] Seq=150 Ack=89 Win=64256 Len=0 TSval=1947989392 TSecr=3647750141"
"61","211.106882","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"62","232.095972","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"63","238.032468","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0008 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"64","249.092697","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"65","251.140555","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"66","257.076604","192.168.0.114","224.0.0.251","MDNS","136","Standard query 0x0001 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"67","257.383717","192.168.0.114","224.0.0.251","MDNS","131","Standard query response 0x0000 A, cache flush 192.168.0.114 AAAA, cache flush fe80::f660:e2ff:fe9a:17b8 NSEC, cache flush Android.local"
"68","258.100491","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x0009 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"69","263.526538","192.168.0.1","224.0.0.22","IGMPv3","70","Membership Report / Join group 239.255.255.250 for any sources / Join group 224.0.0.22 for any sources / Join group 224.0.0.2 for any sources"
"70","270.186772","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"71","272.130351","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"72","274.073249","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"73","278.528447","192.168.0.78","200.42.4.207","DNS","108","Standard query 0x0ef3 A asimov.vortex.data.trafficmanager.net OPT"
"74","278.529306","192.168.0.78","200.42.4.207","DNS","108","Standard query 0x21dc AAAA asimov.vortex.data.trafficmanager.net OPT"
"75","278.567069","200.42.4.207","192.168.0.78","DNS","124","Standard query response 0x0ef3 A asimov.vortex.data.trafficmanager.net A 64.4.54.254 OPT"
"76","278.576790","200.42.4.207","192.168.0.78","DNS","169","Standard query response 0x21dc AAAA asimov.vortex.data.trafficmanager.net SOA tm1.dns-tm.com OPT"
"77","278.578326","192.168.0.78","64.4.54.254","TCP","74","43456  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=849457787 TSecr=0 WS=128"
"78","279.303472","64.4.54.254","192.168.0.78","TCP","66","443  >  43456 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1420 WS=256 SACK_PERM=1"
"79","279.303629","192.168.0.78","64.4.54.254","TCP","54","43456  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"80","279.304584","192.168.0.78","64.4.54.254","TLSv1.2","571","Client Hello"
"81","279.639820","64.4.54.254","192.168.0.78","TCP","1514","443  >  43456 [ACK] Seq=1 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"82","279.639960","192.168.0.78","64.4.54.254","TCP","54","43456  >  443 [ACK] Seq=518 Ack=1461 Win=64128 Len=0"
"83","279.681575","64.4.54.254","192.168.0.78","TCP","1514","443  >  43456 [ACK] Seq=1461 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"84","279.681661","192.168.0.78","64.4.54.254","TCP","54","43456  >  443 [ACK] Seq=518 Ack=2921 Win=64128 Len=0"
"85","279.702938","64.4.54.254","192.168.0.78","TLSv1.2","1026","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"86","279.703050","192.168.0.78","64.4.54.254","TCP","54","43456  >  443 [ACK] Seq=518 Ack=3893 Win=64128 Len=0"
"87","279.707974","192.168.0.78","64.4.54.254","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"88","279.960436","64.4.54.254","192.168.0.78","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"89","279.960575","192.168.0.78","64.4.54.254","TCP","54","43456  >  443 [ACK] Seq=611 Ack=3944 Win=64128 Len=0"
"90","279.966020","192.168.0.78","64.4.54.254","TCP","1474","43456  >  443 [ACK] Seq=611 Ack=3944 Win=64128 Len=1420 [TCP segment of a reassembled PDU]"
"91","279.966072","192.168.0.78","64.4.54.254","TLSv1.2","466","Application Data"
"92","280.251135","64.4.54.254","192.168.0.78","TCP","60","443  >  43456 [ACK] Seq=3944 Ack=2443 Win=525568 Len=0"
"93","280.285537","64.4.54.254","192.168.0.78","TLSv1.2","368","Application Data"
"94","280.288082","192.168.0.78","64.4.54.254","TLSv1.2","85","Encrypted Alert"
"95","280.288372","192.168.0.78","64.4.54.254","TCP","54","43456  >  443 [FIN, ACK] Seq=2474 Ack=4259 Win=64128 Len=0"
"96","280.516181","64.4.54.254","192.168.0.78","TCP","60","443  >  43456 [ACK] Seq=4259 Ack=2475 Win=525568 Len=0"
"97","283.921315","MS-NLB-PhysServer-16_18:93:cd:5c","AzureWav_5b:51:4b","ARP","60","Who has 192.168.0.78? Tell 192.168.0.1"
"98","283.921389","AzureWav_5b:51:4b","MS-NLB-PhysServer-16_18:93:cd:5c","ARP","42","192.168.0.78 is at 28:c2:dd:5b:51:4b"
"99","291.180662","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"100","293.117563","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"101","293.119328","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"102","295.174520","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"103","295.176313","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"104","298.147455","192.168.0.125","224.0.0.251","MDNS","136","Standard query 0x000b PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"105","299.067632","192.168.0.114","224.0.0.251","MDNS","136","Standard query 0x0005 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"106","312.161976","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"107","312.174281","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"108","314.209634","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"109","314.211740","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"110","316.155056","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"111","319.124079","192.168.0.114","224.0.0.251","MDNS","136","Standard query 0x0006 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"112","333.151637","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"113","335.199355","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"114","335.201208","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"115","337.250350","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"116","356.189309","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"117","375.246897","192.168.0.125","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"118","375.248693","192.168.0.125","239.255.255.250","SSDP","164","M-SEARCH * HTTP/1.1 "
"119","375.332310","192.168.0.78","200.42.4.207","DNS","100","Standard query 0x1050 AAAA connectivity-check.ubuntu.com OPT"
